0.9915,0.7684,0.9775,0.7072,0.6358,0.3978,0.847,0.7796,0.7982,0.948,0.8329,0.8904,0.791,0.9252,0.6652,0.878,0.8168,0.75,0.4577,0.9528
0.9908,0.7824,0.9848,0.7139,0.6504,0.4327,0.8547,0.7589,0.8148,0.9339,0.819,0.8767,0.7765,0.9424,0.6714,0.8839,0.833,0.7955,0.4851,0.9323
0.984,0.792,0.9826,0.7006,0.6308,0.4184,0.8607,0.7547,0.8216,0.955,0.8311,0.8715,0.7694,0.9285,0.6573,0.9224,0.8107,0.7825,0.4592,0.9488
0.9845,0.7688,0.9838,0.7252,0.6427,0.4878,0.8595,0.7366,0.8171,0.9624,0.8017,0.8538,0.7464,0.9352,0.6756,0.8936,0.8217,0.7781,0.3915,0.9551
0.9853,0.771,0.9826,0.7262,0.657,0.4824,0.8428,0.6617,0.8236,0.9468,0.747,0.8243,0.6718,0.9454,0.685,0.8553,0.806,0.7738,0.219,0.9523
0.9823,0.7495,0.9826,0.7391,0.6222,0.5871,0.8064,0.6489,0.7706,0.9468,0.7397,0.7979,0.6758,0.9401,0.7269,0.8162,0.7856,0.753,0.1928,0.9461
0.9821,0.7331,0.9806,0.7444,0.6379,0.6228,0.8161,0.6248,0.784,0.919,0.7074,0.8205,0.6333,0.9403,0.7134,0.84,0.7908,0.7399,0.1867,0.9319
0.972,0.7496,0.9862,0.7222,0.6437,0.6256,0.8309,0.7684,0.8187,0.9772,0.8443,0.8336,0.7998,0.9256,0.7301,0.942,0.8026,0.7782,0.4096,0.9742
0.9756,0.7614,0.987,0.7137,0.642,0.5719,0.8226,0.7714,0.8158,0.9691,0.8303,0.8026,0.7774,0.9333,0.7034,0.8714,0.7945,0.779,0.37,0.9704
0.9709,0.7634,0.9874,0.7002,0.633,0.5833,0.8205,0.7551,0.8322,0.9744,0.8308,0.8122,0.76,0.9276,0.7127,0.9176,0.7829,0.7821,0.3999,0.973
0.9668,0.7863,0.9889,0.687,0.6115,0.5921,0.8299,0.7939,0.8238,0.9779,0.8609,0.8225,0.8039,0.924,0.6991,0.934,0.7845,0.7593,0.4864,0.9786
0.9766,0.769,0.9894,0.7313,0.6445,0.5856,0.8405,0.79,0.8304,0.9737,0.8582,0.84,0.8033,0.9411,0.7117,0.9068,0.7933,0.7592,0.468,0.9831
0.966,0.7666,0.9882,0.7146,0.6313,0.5951,0.8395,0.8284,0.8289,0.9771,0.8952,0.8411,0.8612,0.9141,0.7144,0.9421,0.7957,0.7647,0.5889,0.9768
0.972,0.7629,0.989,0.7101,0.6257,0.4899,0.8324,0.8459,0.8019,0.9778,0.8727,0.8386,0.8734,0.9371,0.6752,0.8472,0.7856,0.7409,0.5712,0.9786
0.9709,0.7633,0.9846,0.7268,0.628,0.5912,0.8316,0.8081,0.8176,0.9714,0.8547,0.8269,0.8285,0.9489,0.7167,0.9199,0.7901,0.7771,0.4723,0.9795
0.9772,0.7706,0.988,0.7282,0.6316,0.5326,0.8455,0.8612,0.8146,0.9789,0.8991,0.8754,0.8874,0.9465,0.7039,0.9257,0.8078,0.7681,0.6379,0.981
0.9779,0.7469,0.9849,0.7171,0.6202,0.6054,0.8503,0.7898,0.8189,0.9687,0.8423,0.8279,0.7908,0.9449,0.7158,0.9134,0.7953,0.7804,0.445,0.9719
0.9789,0.7645,0.9873,0.7253,0.6279,0.585,0.8382,0.8293,0.8245,0.9645,0.857,0.8519,0.8412,0.9401,0.7206,0.9041,0.8061,0.7624,0.5347,0.9767
0.9722,0.7819,0.9875,0.7204,0.6236,0.622,0.8308,0.8864,0.8078,0.9764,0.9285,0.8663,0.9098,0.9269,0.7288,0.9613,0.8048,0.771,0.758,0.981
0.9681,0.7615,0.9875,0.7195,0.6179,0.5835,0.8266,0.8722,0.8199,0.9765,0.9035,0.8615,0.8976,0.9226,0.6901,0.9414,0.7973,0.7603,0.7149,0.9765
