0.9437,0.4813,0.4825,0.4863,0.4863,0.4838,0.4825,0.485,0.4838,0.485,0.485,0.4813,0.4888,0.4838,0.4838,0.4788,0.4875,0.4813,0.4838,0.4837
0.7987,0.6963,0.5312,0.6038,0.55,0.45,0.6887,0.5737,0.6913,0.7125,0.6875,0.5225,0.605,0.665,0.61,0.64,0.635,0.67,0.4213,0.7563
0.8912,0.61,0.8788,0.5525,0.52,0.4988,0.6575,0.6863,0.6062,0.8488,0.7113,0.52,0.6725,0.6825,0.5887,0.5387,0.605,0.5763,0.4738,0.8681
0.795,0.6212,0.5425,0.65,0.5938,0.485,0.67,0.5162,0.6488,0.5925,0.5913,0.58,0.5613,0.62,0.635,0.6325,0.675,0.6025,0.4037,0.6244
0.7775,0.5613,0.425,0.6075,0.62,0.445,0.5537,0.4062,0.5875,0.4713,0.4625,0.4788,0.4263,0.4813,0.5475,0.4275,0.6112,0.5425,0.3262,0.4912
0.7063,0.3225,0.2637,0.4575,0.4425,0.635,0.3137,0.2712,0.32,0.255,0.2675,0.36,0.27,0.2787,0.4512,0.34,0.38,0.3488,0.2675,0.2601
0.8237,0.6825,0.6412,0.6162,0.5575,0.4788,0.7137,0.6338,0.66,0.7762,0.7025,0.5463,0.665,0.6763,0.63,0.6625,0.6813,0.6613,0.455,0.8216
0.885,0.6188,0.6725,0.5138,0.5062,0.4675,0.6262,0.7312,0.61,0.7925,0.7738,0.4675,0.735,0.5887,0.565,0.4838,0.5437,0.5763,0.5262,0.8844
0.82,0.68,0.5763,0.6175,0.5587,0.4412,0.6725,0.6088,0.7188,0.735,0.6875,0.5038,0.6088,0.675,0.62,0.585,0.6312,0.6462,0.405,0.7889
0.9087,0.61,0.7975,0.5387,0.51,0.495,0.6613,0.7163,0.6212,0.885,0.7588,0.4875,0.7125,0.67,0.59,0.5537,0.545,0.5975,0.475,0.9246
0.8688,0.6375,0.7,0.56,0.5088,0.4725,0.665,0.725,0.6438,0.8113,0.7738,0.5025,0.7462,0.5988,0.5863,0.5425,0.5713,0.5887,0.505,0.8907
0.8313,0.6188,0.705,0.635,0.5437,0.4975,0.6887,0.5863,0.6188,0.6863,0.6425,0.5938,0.62,0.7488,0.6112,0.7675,0.6963,0.6412,0.4775,0.7173
0.875,0.6312,0.6587,0.5262,0.505,0.4637,0.6438,0.7425,0.6075,0.7963,0.79,0.4988,0.7887,0.6012,0.5663,0.5913,0.5463,0.5837,0.5437,0.8668
0.9075,0.6112,0.66,0.5375,0.5038,0.4975,0.6637,0.615,0.6188,0.76,0.6538,0.51,0.66,0.8438,0.5787,0.6388,0.5675,0.6225,0.4763,0.8053
0.7975,0.6425,0.5188,0.6438,0.595,0.4763,0.635,0.5413,0.6438,0.63,0.6488,0.5325,0.5675,0.5613,0.63,0.5875,0.675,0.59,0.4075,0.7098
0.8788,0.5737,0.5375,0.5675,0.515,0.4938,0.6175,0.5437,0.5687,0.6088,0.595,0.58,0.65,0.6763,0.565,0.8838,0.5863,0.5962,0.5088,0.6193
0.79,0.615,0.5663,0.6475,0.5563,0.4625,0.6375,0.535,0.63,0.6025,0.6162,0.6,0.5475,0.6012,0.6162,0.555,0.71,0.5962,0.4313,0.6482
0.8275,0.69,0.5513,0.6138,0.5463,0.46,0.6975,0.565,0.6687,0.7113,0.6713,0.5025,0.6175,0.7,0.6,0.6975,0.6312,0.675,0.4363,0.7487
0.88,0.5763,0.5238,0.5262,0.4763,0.47,0.56,0.83,0.57,0.69,0.7725,0.5375,0.8375,0.4775,0.5413,0.5537,0.5175,0.53,0.9287,0.7425
0.9038,0.61,0.75,0.5262,0.5012,0.4875,0.6412,0.735,0.6088,0.8475,0.7562,0.4838,0.7075,0.64,0.5637,0.505,0.5363,0.5625,0.47,0.9246
