0.9613,0.5363,0.805,0.595,0.5288,0.505,0.6212,0.525,0.5687,0.6637,0.59,0.7612,0.55,0.6562,0.5837,0.6162,0.685,0.5425,0.485,0.5716
0.8612,0.71,0.855,0.6675,0.6062,0.4763,0.745,0.605,0.7025,0.775,0.6625,0.8237,0.6675,0.8275,0.66,0.825,0.76,0.7025,0.4088,0.7852
0.9487,0.6062,0.9038,0.6162,0.5575,0.5012,0.69,0.6012,0.6112,0.7488,0.6525,0.78,0.5913,0.74,0.6188,0.7863,0.7063,0.5763,0.4713,0.6834
0.8538,0.6288,0.8163,0.6837,0.6488,0.5637,0.7063,0.555,0.6787,0.7275,0.6262,0.7913,0.6,0.7963,0.6587,0.8125,0.7475,0.66,0.395,0.691
0.7925,0.6462,0.7812,0.665,0.6212,0.5188,0.7113,0.55,0.67,0.7037,0.5988,0.7375,0.57,0.7425,0.6325,0.7238,0.7113,0.5988,0.3362,0.7073
0.8137,0.595,0.775,0.6763,0.6012,0.6562,0.6488,0.52,0.595,0.6525,0.55,0.76,0.56,0.7538,0.6613,0.78,0.695,0.6125,0.375,0.6018
0.8838,0.6837,0.87,0.6625,0.5875,0.4763,0.7412,0.6112,0.685,0.77,0.6737,0.8275,0.6637,0.8387,0.6587,0.8462,0.7675,0.685,0.4225,0.7827
0.8975,0.705,0.8975,0.675,0.61,0.465,0.7812,0.795,0.7137,0.8612,0.8287,0.8325,0.83,0.7987,0.6763,0.885,0.7675,0.6837,0.6525,0.8668
0.8612,0.685,0.8588,0.6737,0.635,0.4713,0.755,0.5988,0.7288,0.7738,0.6675,0.8037,0.6312,0.8275,0.655,0.79,0.77,0.6925,0.4088,0.7726
0.9287,0.6575,0.9337,0.6275,0.5837,0.4913,0.7512,0.6587,0.6675,0.8575,0.7388,0.7775,0.6813,0.7575,0.6663,0.8025,0.7362,0.6275,0.4575,0.8367
0.9025,0.695,0.9113,0.6613,0.6112,0.475,0.7762,0.75,0.7113,0.8712,0.8013,0.82,0.7937,0.795,0.6725,0.8838,0.7712,0.6575,0.5663,0.8693
0.9187,0.6787,0.86,0.6613,0.5938,0.485,0.7475,0.5675,0.6362,0.7288,0.6188,0.8588,0.5813,0.815,0.6312,0.8675,0.7475,0.6212,0.4587,0.6646
0.905,0.6713,0.9012,0.665,0.605,0.4713,0.7662,0.76,0.6975,0.8575,0.7987,0.8313,0.8275,0.7963,0.6737,0.8975,0.7688,0.6587,0.625,0.853
0.9113,0.64,0.88,0.6262,0.5813,0.4763,0.7575,0.5863,0.63,0.7788,0.6575,0.8325,0.6775,0.83,0.645,0.8075,0.7562,0.635,0.4487,0.7651
0.8075,0.62,0.7975,0.6937,0.6038,0.585,0.6925,0.545,0.645,0.6925,0.6,0.7675,0.5875,0.7612,0.6462,0.7512,0.7288,0.6175,0.36,0.6671
0.9325,0.6312,0.9113,0.6613,0.5737,0.4975,0.735,0.5925,0.6388,0.7825,0.6687,0.8525,0.66,0.815,0.6462,0.9,0.7438,0.64,0.4838,0.7324
0.8912,0.6863,0.865,0.6737,0.6025,0.4838,0.755,0.5938,0.6637,0.755,0.6562,0.83,0.6438,0.8137,0.6675,0.8425,0.7788,0.6575,0.4338,0.755
0.8538,0.7063,0.8337,0.6763,0.6075,0.4738,0.7675,0.585,0.6987,0.7512,0.65,0.8,0.635,0.8287,0.6562,0.8137,0.755,0.6975,0.4075,0.7437
0.9025,0.72,0.895,0.6775,0.6462,0.4913,0.7675,0.7837,0.7425,0.8575,0.815,0.86,0.8413,0.78,0.6863,0.88,0.7875,0.695,0.7875,0.8317
0.9163,0.6775,0.9375,0.6438,0.5725,0.49,0.7575,0.6687,0.665,0.8662,0.75,0.775,0.68,0.7762,0.6787,0.825,0.75,0.6325,0.4512,0.8706
