0.96,0.5413,0.8037,0.5962,0.535,0.5125,0.615,0.5238,0.5575,0.6637,0.5938,0.7488,0.555,0.6412,0.5913,0.6288,0.6775,0.5413,0.4888,0.5741
0.85,0.6763,0.8538,0.6687,0.6075,0.4825,0.7712,0.5938,0.7087,0.7825,0.67,0.8087,0.6475,0.8175,0.65,0.8113,0.7662,0.7,0.4037,0.7701
0.8712,0.665,0.8325,0.6687,0.6162,0.4688,0.7612,0.5675,0.7025,0.785,0.6725,0.7987,0.6162,0.8113,0.6412,0.84,0.735,0.675,0.3987,0.7563
0.7987,0.6613,0.7913,0.6675,0.6162,0.5312,0.7388,0.5375,0.6787,0.72,0.6162,0.7288,0.5887,0.79,0.6625,0.7675,0.7113,0.645,0.3175,0.7324
0.7712,0.6362,0.7538,0.6687,0.6075,0.5363,0.6925,0.5275,0.6625,0.6975,0.5613,0.6913,0.57,0.7562,0.615,0.6887,0.6963,0.6488,0.3212,0.7123
0.755,0.5962,0.74,0.6687,0.59,0.6412,0.6763,0.52,0.6438,0.6787,0.5725,0.6887,0.6262,0.7175,0.655,0.6975,0.6562,0.6488,0.355,0.6595
0.79,0.6288,0.7475,0.69,0.585,0.6262,0.6525,0.5062,0.6275,0.6663,0.5587,0.6875,0.54,0.7562,0.6488,0.7438,0.7013,0.6238,0.3325,0.6545
0.8025,0.6925,0.8175,0.705,0.6512,0.65,0.7475,0.7275,0.7312,0.8,0.7575,0.7775,0.7375,0.7913,0.7013,0.8,0.7475,0.7225,0.5625,0.7726
0.8187,0.6987,0.8087,0.6663,0.6425,0.6162,0.7175,0.67,0.7388,0.79,0.7163,0.7462,0.6937,0.7688,0.6787,0.7788,0.7325,0.7175,0.475,0.7852
0.84,0.6975,0.85,0.68,0.62,0.6325,0.7575,0.6987,0.7538,0.8275,0.7738,0.75,0.7225,0.8275,0.6763,0.8237,0.7388,0.7025,0.4487,0.8329
0.8375,0.7163,0.835,0.6987,0.6462,0.65,0.7412,0.745,0.745,0.8137,0.7837,0.7738,0.7562,0.785,0.6913,0.825,0.7425,0.7137,0.535,0.8342
0.86,0.7525,0.865,0.7113,0.645,0.5975,0.7812,0.735,0.7562,0.84,0.785,0.8163,0.7762,0.8425,0.6925,0.8438,0.7775,0.735,0.5637,0.8317
0.8525,0.73,0.8525,0.7037,0.6225,0.6188,0.77,0.8175,0.7688,0.8488,0.845,0.805,0.8512,0.8175,0.68,0.87,0.7575,0.7175,0.7288,0.8492
0.87,0.7188,0.8512,0.6913,0.6025,0.5262,0.7738,0.8087,0.7325,0.865,0.82,0.8075,0.8375,0.84,0.6675,0.8438,0.7538,0.725,0.7137,0.8606
0.7963,0.7125,0.78,0.69,0.6512,0.665,0.7137,0.7,0.7412,0.7638,0.7312,0.7525,0.7438,0.785,0.67,0.77,0.7037,0.73,0.5525,0.7588
0.8612,0.7212,0.8675,0.6987,0.6275,0.5725,0.7775,0.7662,0.7438,0.8475,0.81,0.815,0.8175,0.8525,0.6937,0.8525,0.7488,0.7588,0.6475,0.8329
0.8375,0.7262,0.8375,0.7137,0.65,0.6663,0.7538,0.7288,0.7488,0.8025,0.7538,0.79,0.755,0.8137,0.6913,0.8063,0.7475,0.7675,0.535,0.8103
0.8287,0.7212,0.8037,0.6913,0.66,0.6412,0.7725,0.7488,0.7425,0.78,0.7488,0.7788,0.7438,0.7925,0.6675,0.7963,0.74,0.7125,0.5813,0.7952
0.8413,0.7425,0.8438,0.6913,0.6325,0.6225,0.7762,0.8325,0.775,0.8538,0.8387,0.8275,0.845,0.8462,0.6913,0.8525,0.7488,0.7412,0.8113,0.853
0.86,0.73,0.885,0.6737,0.59,0.5587,0.7725,0.8438,0.7762,0.8612,0.85,0.79,0.865,0.8263,0.6687,0.865,0.7175,0.7425,0.735,0.8593
